nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
SETUP_MERCADO,SETUP_MERCADO|REACCIÓN_ZONA+RECHAZO_BAJISTA+ZONA_GENERICA|MERCADO_NORMAL+TENDENCIA_ALCISTA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,MANAUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_BAJISTA_MEDIO,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
PA_SETUP_MERCADO,PA_SETUP_MERCADO|IMPULSO_BAJISTA_MEDIO|REACCIÓN_ZONA+RECHAZO_BAJISTA+ZONA_GENERICA|MERCADO_NORMAL+TENDENCIA_ALCISTA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,MANAUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_BAJISTA_MEDIO,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|ALCISTA_NORMAL+IMPULSO_BAJISTA_MEDIO+MERCADO_NORMAL+PUT+REACCIÓN_ZONA+TENDENCIA+TENDENCIA_ALCISTA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,MANAUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_BAJISTA_MEDIO,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
CONTEXTO_SETUP,CONTEXTO_SETUP|CALL|REACCIÓN_ZONA|INDEFINIDO|ZONA_GENERICA|TENDENCIA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,LUNA-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_ALCISTA_MEDIO,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|NZDJPY-OTC|PUT|CONTINUACIÓN|TENDENCIA|BAJISTA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDJPY-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,IMPULSO_BAJISTA_FUERTE,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDJPY-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,IMPULSO_BAJISTA_FUERTE,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,,
PA_MERCADO,PA_MERCADO|IMPULSO_BAJISTA_FUERTE|MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDJPY-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,IMPULSO_BAJISTA_FUERTE,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,,
SETUP_MERCADO,SETUP_MERCADO|CONTINUACION+CONTINUACION_SIMPLE+CONTINUACIÓN|MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDJPY-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,IMPULSO_BAJISTA_FUERTE,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,,
PA_SETUP_MERCADO,PA_SETUP_MERCADO|IMPULSO_BAJISTA_FUERTE|CONTINUACION+CONTINUACION_SIMPLE+CONTINUACIÓN|MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDJPY-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,IMPULSO_BAJISTA_FUERTE,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_DEBIL+CONTINUACIÓN+IMPULSO_BAJISTA_FUERTE+MERCADO_LIMPIO+PUT+SCORE_MERCADO_ALTO+TENDENCIA+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDJPY-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,IMPULSO_BAJISTA_FUERTE,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_BAJISTA+TENDENCIA_DEBIL,,
PA_MERCADO,PA_MERCADO|IMPULSO_ALCISTA_MEDIO+RECHAZO_COMPRADOR_CONFIRMADO|MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_ALCISTA+TENDENCIA_LIMPIA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDJPY-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_ALCISTA_MEDIO+RECHAZO_COMPRADOR_CONFIRMADO,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_ALCISTA+TENDENCIA_LIMPIA,,
SETUP_MERCADO,SETUP_MERCADO|INDEFINIDO+REACCIÓN_ZONA+ZONA_RECHAZO_CONFIRMADO|MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_ALCISTA+TENDENCIA_LIMPIA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDJPY-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_ALCISTA_MEDIO+RECHAZO_COMPRADOR_CONFIRMADO,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_ALCISTA+TENDENCIA_LIMPIA,,
PA_SETUP_MERCADO,PA_SETUP_MERCADO|IMPULSO_ALCISTA_MEDIO+RECHAZO_COMPRADOR_CONFIRMADO|INDEFINIDO+REACCIÓN_ZONA+ZONA_RECHAZO_CONFIRMADO|MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_ALCISTA+TENDENCIA_LIMPIA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDJPY-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_ALCISTA_MEDIO+RECHAZO_COMPRADOR_CONFIRMADO,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_ALCISTA+TENDENCIA_LIMPIA,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|ALCISTA_NORMAL+CALL+IMPULSO_ALCISTA_MEDIO+MERCADO_LIMPIO+REACCIÓN_ZONA+RECHAZO_COMPRADOR_CONFIRMADO+SCORE_MERCADO_ALTO+TENDENCIA+TENDENCIA_ALCISTA+TENDENCIA_LIMPIA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,NZDJPY-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,IMPULSO_ALCISTA_MEDIO+RECHAZO_COMPRADOR_CONFIRMADO,MERCADO_LIMPIO+SCORE_MERCADO_ALTO+TENDENCIA_ALCISTA+TENDENCIA_LIMPIA,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|AIG-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA|ALCISTA_FUERTE,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,AIG-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_FUERTE,IMPULSO_ALCISTA_FUERTE,MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE+TENDENCIA_LIMPIA,,
PA_MERCADO,PA_MERCADO|IMPULSO_ALCISTA_FUERTE|MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE+TENDENCIA_LIMPIA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,AIG-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_FUERTE,IMPULSO_ALCISTA_FUERTE,MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE+TENDENCIA_LIMPIA,,
SETUP_MERCADO,SETUP_MERCADO|CHOCH_ALCISTA+CHOCH_CON_PA_A_FAVOR+REVERSIÓN_ESTRUCTURAL|MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE+TENDENCIA_LIMPIA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,AIG-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_FUERTE,IMPULSO_ALCISTA_FUERTE,MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE+TENDENCIA_LIMPIA,,
PA_SETUP_MERCADO,PA_SETUP_MERCADO|IMPULSO_ALCISTA_FUERTE|CHOCH_ALCISTA+CHOCH_CON_PA_A_FAVOR+REVERSIÓN_ESTRUCTURAL|MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE+TENDENCIA_LIMPIA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,AIG-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_FUERTE,IMPULSO_ALCISTA_FUERTE,MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE+TENDENCIA_LIMPIA,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|ALCISTA_FUERTE+CALL+IMPULSO_ALCISTA_FUERTE+MERCADO_NORMAL+REVERSIÓN_ESTRUCTURAL+TENDENCIA+TENDENCIA_ALCISTA+TENDENCIA_FUERTE+TENDENCIA_LIMPIA,1,1,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,51.67,30.78,72.55,False,1,,,,,,0,,AIG-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_FUERTE,IMPULSO_ALCISTA_FUERTE,MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE+TENDENCIA_LIMPIA,,
