tipo,activo,fecha,direccion,patron,puntaje,prioridad,score_final,calidad,rsi,tipo_mercado,calidad_mercado,score_mercado,estado_tendencia,score_filtro,resultado,precio_entrada,precio_cierre
binary,USDINR-OTC,1782089280,call,CHOCH alcista,18,3,127,A,54.83,TENDENCIA_ALCISTA,NORMAL,71,ALCISTA_DEBIL,106,LOSS,95.9355,95.9355
binary,MCDON-OTC,1782089700,put,CHOCH bajista,19,3,129,A,38.73,TENDENCIA_BAJISTA,NORMAL,64,BAJISTA_NORMAL,114,LOSS,287.265,290.115
binary,ARBUSD-OTC,1782089700,put,reacción vendedora en resistencia,18,4,132,A+,44.06,TENDENCIA_BAJISTA,NORMAL,61,BAJISTA_NORMAL,111,WIN,0.083735,0.083235
binary,EURCAD-OTC,1782089760,put,reacción vendedora en resistencia,18,4,132,A+,54.72,TENDENCIA_ALCISTA,NORMAL,60,ALCISTA_NORMAL,110,WIN,1.635385,1.635145
binary,DXY,1782090960,call,reacción compradora en soporte,18,4,132,A+,51.52,TENDENCIA_BAJISTA,NORMAL,64,BAJISTA_NORMAL,109,LOSS,100.797965,100.795155
binary,GOOGLE-OTC,1782091200,put,CHOCH bajista,18,3,127,A,42.79,TENDENCIA_BAJISTA,NORMAL,64,BAJISTA_NORMAL,114,LOSS,372.663215,373.870105
binary,USDPHP-OTC,1782091980,put,reacción vendedora en resistencia,18,4,132,A+,44.02,TENDENCIA_BAJISTA,NORMAL,62,BAJISTA_NORMAL,112,LOSS,60.68405,60.68465
binary,SpaceX-OTC,1782092400,call,reacción compradora en soporte,18,4,132,A+,45.97,TENDENCIA_BAJISTA,NORMAL,71,BAJISTA_NORMAL,121,WIN,170.169255,170.322525
binary,DASHUSD-OTC,1782092640,call,CHOCH alcista,18,3,127,A,59.52,TENDENCIA_ALCISTA,NORMAL,64,ALCISTA_FUERTE,124,WIN,36.825485,36.904655
binary,NZDJPY-OTC,1782093420,put,CHOCH bajista,18,3,127,A,45.77,TENDENCIA_BAJISTA,LIMPIO,76,BAJISTA_FUERTE,146,WIN,92.457765,92.409025
binary,USDSEK-OTC,1782093660,put,CHOCH bajista,18,3,127,A,37.01,TENDENCIA_BAJISTA,NORMAL,62,BAJISTA_FUERTE,122,WIN,9.631255,9.627525
binary,ATOMUSD-OTC,1782093840,call,CHOCH alcista,18,3,127,A,57.17,TENDENCIA_ALCISTA,NORMAL,61,ALCISTA_NORMAL,111,WIN,2.024985,2.031135
binary,USDBRL-OTC,1782093900,call,reacción compradora en soporte,18,4,132,A+,41.32,TENDENCIA_BAJISTA,NORMAL,60,BAJISTA_NORMAL,110,WIN,5.214215,5.218405
binary,AMAZON-OTC,1782094200,put,CHOCH bajista,18,3,127,A,39.22,TENDENCIA_BAJISTA,NORMAL,72,BAJISTA_NORMAL,122,WIN,242.976975,242.899905
binary,RONINUSD-OTC,1782094380,put,CHOCH bajista,18,3,127,A,38.82,TENDENCIA_BAJISTA,NORMAL,65,BAJISTA_NORMAL,115,LOSS,0.067945,0.068335
turbo,APPLE-OTC,1782094860,call,reacción compradora en soporte,24,4,162,A+,31.77,TENDENCIA_BAJISTA,NORMAL,65,BAJISTA_NORMAL,115,WIN,291.045365,291.310455
binary,APPLE-OTC,1782094740,put,CHOCH bajista,18,3,127,A,37.34,TENDENCIA_BAJISTA,NORMAL,72,BAJISTA_DEBIL,107,WIN,291.894245,290.988695
binary,USDNOK-OTC,1782094920,call,reacción compradora en soporte,18,4,132,A+,31.34,TENDENCIA_BAJISTA,NORMAL,67,BAJISTA_FUERTE,127,WIN,9.591695,9.595965
binary,COTTON-OTC,1782095100,call,CHOCH alcista,20,3,131,A,56.27,TENDENCIA_ALCISTA,NORMAL,63,ALCISTA_FUERTE,123,LOSS,80.931075,80.872125
binary,NIKE-OTC,1782095280,call,CHOCH alcista,18,3,127,A,56.75,RANGO,LIMPIO,77,ALCISTA_NORMAL,117,WIN,36.0895,36.1785
binary,GBPJPY-OTC,1782095580,put,CHOCH bajista,18,3,127,A,42.71,TENDENCIA_BAJISTA,NORMAL,61,BAJISTA_NORMAL,111,WIN,221.509005,221.456525
binary,MANAUSD-OTC,1782095760,put,CHOCH bajista,21,4,144,A+,44.39,TENDENCIA_BAJISTA,NORMAL,66,BAJISTA_NORMAL,116,LOSS,0.078935,0.078965
binary,SUGAR-OTC,1782095760,call,CHOCH alcista,18,3,127,A,49.1,TENDENCIA_ALCISTA,NORMAL,63,ALCISTA_NORMAL,113,WIN,15.177285,15.304305
binary,LUNA-OTC,1782095940,put,CHOCH bajista,18,3,127,A,40.57,TENDENCIA_BAJISTA,LIMPIO,76,BAJISTA_NORMAL,136,WIN,0.067955,0.067645
binary,TONUSD-OTC,1782096240,call,CHOCH alcista,18,3,127,A,52.18,TENDENCIA_ALCISTA,NORMAL,59,ALCISTA_NORMAL,109,WIN,1.744155,1.744885
