nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_DEBIL+CONTINUACIÓN+PUT+TENDENCIA,15,8,7,53.33,0.0,NEUTRO,BAJA,51.0,34.67,67.33,True,15,60.0,60.0,40.0,20.0,-20.0,2,0.667,US2000-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|AIG-OTC|CONTINUACIÓN,15,7,8,46.67,-1.21,DEBIL,BAJA,48.14,31.82,64.46,True,15,60.0,40.0,40.0,20.0,-20.0,2,0.667,AIG-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|NZDJPY-OTC|REVERSIÓN,15,6,9,40.0,-1.82,DEBIL,BAJA,45.29,29.03,61.55,True,15,60.0,60.0,0.0,60.0,-60.0,1,0.333,NZDJPY-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_FUERTE,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|CALL|REVERSIÓN_ESTRUCTURAL|CHOCH_ALCISTA|CHOCH_CON_PA_A_FAVOR|TENDENCIA,14,11,3,78.57,2.61,FAVORABLE,BAJA,61.32,45.19,77.46,False,14,,,,,,0,,COFFEE-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_NORMAL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN_ESTRUCTURAL|CALL,14,11,3,78.57,2.61,FAVORABLE,BAJA,61.32,45.19,77.46,False,14,,,,,,0,,COFFEE-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_NORMAL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|CHOCH_ALCISTA+CHOCH_CON_PA_A_FAVOR+REVERSIÓN_ESTRUCTURAL,14,11,3,78.57,2.61,FAVORABLE,BAJA,61.32,45.19,77.46,False,14,,,,,,0,,COFFEE-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA,ALCISTA_NORMAL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|INDEFINIDO+REACCIÓN_ZONA+ZONA_RECHAZO_CONFIRMADO,14,9,5,64.29,1.59,FAVORABLE,BAJA,55.44,38.97,71.91,False,14,,,,,,0,,HK33-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|HK33-OTC|CALL,14,7,7,50.0,0.0,NEUTRO,BAJA,49.56,32.99,66.12,False,14,,,,,,0,,HK33-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|EURCAD-OTC|CONTINUACIÓN,14,6,8,42.86,-1.49,DEBIL,BAJA,46.62,30.09,63.14,False,14,,,,,,0,,EURCAD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_FUERTE,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|NZDJPY-OTC|CONTINUACIÓN,14,5,9,35.71,-2.11,DEBIL,BAJA,43.68,27.24,60.11,False,14,,,,,,0,,NZDJPY-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
