nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
ACTIVO_DIRECCION,ACTIVO_DIRECCION|USDMXN-OTC|CALL,81,44,37,54.32,0.0,NEUTRO,ALTA,53.32,43.63,63.0,True,81,48.15,55.56,59.26,11.11,11.11,2,0.667,USDMXN-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_BAJISTA+SWEEP_CON_RECHAZO_AGOTAMIENTO,80,43,37,53.75,0.0,NEUTRO,ALTA,52.85,43.11,62.59,True,80,55.56,55.56,50.0,5.56,-5.56,3,1.0,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|USDSGD-OTC|CALL,80,35,45,43.75,-2.67,DEBIL,ALTA,44.85,35.15,54.55,True,80,62.96,37.04,30.77,32.19,-32.19,2,0.667,USDSGD-OTC,call,REVERSIÓN,TENDENCIA,INDEFINIDA,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|LTCUSD-OTC|CALL,78,41,37,52.56,0.0,NEUTRO,ALTA,51.89,42.05,61.73,True,78,50.0,57.69,50.0,7.69,0.0,3,1.0,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|PUT|REVERSIÓN|SWEEP_BAJISTA|SWEEP_SIMPLE|RANGO,77,37,40,48.05,0.0,NEUTRO,ALTA,48.3,38.41,58.19,True,77,57.69,46.15,40.0,17.69,-17.69,2,0.667,MANAUSD-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|USDTHB-OTC|CALL,77,34,43,44.16,-2.59,DEBIL,ALTA,45.21,35.35,55.06,True,77,57.69,38.46,36.0,21.69,-21.69,2,0.667,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|HK33-OTC|CALL,74,34,40,45.95,-2.29,DEBIL,ALTA,46.65,36.62,56.68,True,74,40.0,44.0,54.17,14.17,14.17,2,0.667,HK33-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|NZDCHF-OTC|CALL,71,30,41,42.25,-2.89,DEBIL,ALTA,43.79,33.65,53.93,True,71,41.67,33.33,52.17,18.84,10.5,2,0.667,NZDCHF-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSION_ALCISTA+REVERSIÓN+SWEEP_SIMPLE,70,32,38,45.71,-2.32,DEBIL,ALTA,46.5,36.25,56.75,True,70,54.17,47.83,34.78,19.39,-19.39,2,0.667,USDMXN-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|EURCAD-OTC|CALL,69,38,31,55.07,0.0,NEUTRO,ALTA,53.76,43.46,64.06,True,69,69.57,47.83,47.83,21.74,-21.74,1,0.333,EURCAD-OTC,call,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REACCIÓN_ZONA|ALCISTA_NORMAL,65,37,28,56.92,0.0,NEUTRO,ALTA,55.12,44.61,65.63,True,65,59.09,50.0,61.9,11.9,2.81,3,1.0,USDTHB-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|CONTINUACION+REACCIÓN_ZONA+ZONA_GENERICA,65,30,35,46.15,-2.23,DEBIL,ALTA,46.88,36.34,57.43,True,65,36.36,54.55,47.62,18.19,11.26,2,0.667,LTCUSD-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|CONTINUACIÓN|TENDENCIA|BAJISTA_DEBIL,62,37,25,59.68,2.19,FAVORABLE,ALTA,57.13,46.49,67.78,True,62,57.14,57.14,65.0,7.86,7.86,3,1.0,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|CONTINUACIÓN|BAJISTA_DEBIL,62,37,25,59.68,2.19,FAVORABLE,ALTA,57.13,46.49,67.78,True,62,57.14,57.14,65.0,7.86,7.86,3,1.0,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_DEBIL+CONTINUACIÓN+PUT+TENDENCIA,62,37,25,59.68,2.19,FAVORABLE,ALTA,57.13,46.49,67.78,True,62,57.14,57.14,65.0,7.86,7.86,3,1.0,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_DEBIL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|CALL|REACCIÓN_ZONA|RANGO|INDEFINIDA,62,24,38,38.71,-3.41,DEBIL,ALTA,41.28,30.69,51.87,True,62,38.1,38.1,40.0,1.9,1.9,3,1.0,EURCAD-OTC,call,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|CALL+INDEFINIDA+RANGO+REACCIÓN_ZONA,62,24,38,38.71,-3.41,DEBIL,ALTA,41.28,30.69,51.87,True,62,38.1,38.1,40.0,1.9,1.9,3,1.0,EURCAD-OTC,call,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|CALL|REVERSIÓN|SWEEP_ALCISTA|SWEEP_SIMPLE|RANGO,60,28,32,46.67,-2.13,DEBIL,ALTA,47.31,36.44,58.19,True,60,65.0,40.0,35.0,30.0,-30.0,2,0.667,LTCUSD-OTC,call,REVERSIÓN,RANGO,INDEFINIDA,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REACCIÓN_ZONA|BAJISTA_DEBIL,59,32,27,54.24,0.0,NEUTRO,ALTA,52.97,42.04,63.91,True,59,55.0,60.0,47.37,12.63,-7.63,2,0.667,NZDJPY-OTC,put,REACCIÓN_ZONA,RANGO,BAJISTA_DEBIL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|REACCIÓN_ZONA|RANGO|INDEFINIDA,57,24,33,42.11,-2.83,DEBIL,ALTA,43.96,32.95,54.98,True,57,42.11,42.11,42.11,0.0,0.0,3,1.0,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|INDEFINIDA+PUT+RANGO+REACCIÓN_ZONA,57,24,33,42.11,-2.83,DEBIL,ALTA,43.96,32.95,54.98,True,57,42.11,42.11,42.11,0.0,0.0,3,1.0,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|INDEFINIDO+REACCIÓN_ZONA+ZONA_GENERICA,56,28,28,50.0,0.0,NEUTRO,ALTA,49.8,38.63,60.97,True,56,36.84,52.63,61.11,24.27,24.27,2,0.667,USDTHB-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|CALL|REVERSIÓN|SWEEP_ALCISTA|SWEEP_CON_RECHAZO_AGOTAMIENTO|TENDENCIA,55,29,26,52.73,0.0,NEUTRO,ALTA,51.8,40.57,63.03,True,55,52.63,55.56,50.0,5.56,-2.63,3,1.0,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSION_BAJISTA+REVERSIÓN+SWEEP_RUPTURA_CONFIRMABLE,53,25,28,47.17,-2.01,DEBIL,ALTA,47.74,36.36,59.12,True,53,27.78,66.67,47.06,38.89,19.28,2,0.667,COFFEE-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_FUERTE,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|CALL|REACCIÓN_ZONA|INDEFINIDO|ZONA_RECHAZO_CONFIRMADO|RANGO,53,20,33,37.74,-3.48,DEBIL,ALTA,40.89,29.69,52.09,True,53,33.33,38.89,41.18,7.85,7.85,3,1.0,USDSGD-OTC,call,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|PUT|REVERSIÓN|SWEEP_BAJISTA|SWEEP_CON_RECHAZO_AGOTAMIENTO|TENDENCIA,52,25,27,48.08,0.0,NEUTRO,ALTA,48.4,36.94,59.87,True,52,38.89,52.94,52.94,14.05,14.05,1,0.333,LTCUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
