clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,activo,direccion,familia_setup,tipo_mercado,estado_tendencia
USDPLN-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,18,12,6,66.67,3.45,FAVORABLE,BAJA,USDPLN-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
CARDANO-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,18,8,10,44.44,-2.59,DEBIL,BAJA,CARDANO-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
HYPE-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,14,7,7,50.0,0.0,NEUTRO,BAJA,HYPE-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
MU-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,14,4,10,28.57,-5.0,DEBIL,BAJA,MU-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
ONDOUSD-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,13,8,5,61.54,2.59,FAVORABLE,BAJA,ONDOUSD-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
EURGBP-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,10,5,5,50.0,0.0,NEUTRO,BAJA,EURGBP-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
MU-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,10,4,6,40.0,-3.33,DEBIL,BAJA,MU-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDBDT-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,10,4,6,40.0,-3.33,DEBIL,BAJA,USDBDT-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
MU-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,10,3,7,30.0,-5.0,DEBIL,BAJA,MU-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
JUPUSD-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,10,3,7,30.0,-5.0,DEBIL,BAJA,JUPUSD-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
CARDANO-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,9,7,2,77.78,5.0,FAVORABLE,BAJA,CARDANO-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SNDK-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,9,7,2,77.78,5.0,FAVORABLE,BAJA,SNDK-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDPHP-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,9,5,4,55.56,0.0,NEUTRO,BAJA,USDPHP-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
ONDOUSD-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,9,4,5,44.44,-2.59,DEBIL,BAJA,ONDOUSD-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SPACEX-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,9,3,6,33.33,-4.45,DEBIL,BAJA,SpaceX-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
MU-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,9,2,7,22.22,-5.0,DEBIL,BAJA,MU-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDMYR-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,8,7,1,87.5,5.0,FAVORABLE,BAJA,USDMYR-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
CASINOS-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,8,5,3,62.5,2.75,FAVORABLE,BAJA,CASINOS-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
ONDOUSD-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,8,4,4,50.0,0.0,NEUTRO,BAJA,ONDOUSD-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
RENDERUSD-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,8,4,4,50.0,0.0,NEUTRO,BAJA,RENDERUSD-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
JUPUSD-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,8,4,4,50.0,0.0,NEUTRO,BAJA,JUPUSD-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDMYR-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,8,2,6,25.0,-5.0,DEBIL,BAJA,USDMYR-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDSEK-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,7,5,2,71.43,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDSEK-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDSEK-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,7,4,3,57.14,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDSEK-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
HYPE-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,7,4,3,57.14,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SPACEX-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,7,2,5,28.57,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SUGAR-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,6,5,1,83.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDPHP-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,6,4,2,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPHP-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
SUGAR-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,6,4,2,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
HYPE-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,6,3,3,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDMYR-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,6,3,3,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDSEK-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,6,3,3,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDSEK-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
RENDERUSD-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,6,3,3,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,RENDERUSD-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
RENDERUSD-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,6,3,3,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,RENDERUSD-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
EURGBP-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,6,3,3,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
EURGBP-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,6,2,4,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDPLN-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,5,3,2,60.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPLN-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SUGAR-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,5,3,2,60.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
USDSEK-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,5,2,3,40.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDSEK-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDSEK-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,5,0,5,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDSEK-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
HYPE-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,4,4,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
CASINOS-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,4,3,1,75.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
CASINOS-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,4,3,1,75.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
CARDANO-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,4,3,1,75.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
SUGAR-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,4,3,1,75.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
HYPE-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA_ALCISTA|ALCISTA_NORMAL,4,3,1,75.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDBDT-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,4,3,1,75.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDMYR-OTC|PUT|REVERSIÓN|RANGO|BAJISTA_DEBIL,4,2,2,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,put,REVERSIÓN,RANGO,BAJISTA_DEBIL
HYPE-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,4,2,2,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,put,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
USDPLN-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,4,2,2,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPLN-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDMYR-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,4,2,2,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDBDT-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_FUERTE,4,2,2,50.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_FUERTE
ONDOUSD-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,4,1,3,25.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
MU-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,4,1,3,25.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
SNDK-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,4,0,4,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
ONDOUSD-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,4,0,4,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
JUPUSD-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,3,3,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,JUPUSD-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
ONDOUSD-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA_ALCISTA|ALCISTA_NORMAL,3,3,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SPACEX-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,3,2,1,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
USDMYR-OTC|CALL|REVERSIÓN|RANGO|ALCISTA_DEBIL,3,2,1,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL
EURGBP-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,3,2,1,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
USDPLN-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,3,2,1,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPLN-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
JUPUSD-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,3,2,1,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,JUPUSD-OTC,put,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
CARDANO-OTC|CALL|REVERSIÓN|RANGO|BAJISTA_DEBIL,3,2,1,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,call,REVERSIÓN,RANGO,BAJISTA_DEBIL
USDPHP-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,3,2,1,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPHP-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
ONDOUSD-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_DEBIL,3,2,1,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,ONDOUSD-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_DEBIL
CASINOS-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_BAJISTA|BAJISTA_NORMAL,3,2,1,66.67,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,put,REACCIÓN_ZONA,TENDENCIA_BAJISTA,BAJISTA_NORMAL
SNDK-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_FUERTE,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_FUERTE
USDMYR-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA_ALCISTA|ALCISTA_NORMAL,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SNDK-OTC|CALL|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,call,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SNDK-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
HYPE-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,HYPE-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
JUPUSD-OTC|PUT|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_FUERTE,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,JUPUSD-OTC,put,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_FUERTE
JUPUSD-OTC|CALL|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_DEBIL,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,JUPUSD-OTC,call,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_DEBIL
USDSEK-OTC|CALL|REVERSIÓN_ESTRUCTURAL|TENDENCIA_ALCISTA|ALCISTA_NORMAL,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDSEK-OTC,call,REVERSIÓN_ESTRUCTURAL,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SPACEX-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDMYR-OTC|PUT|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDMYR-OTC,put,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
SNDK-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_NORMAL,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SNDK-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_NORMAL
USDBDT-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDBDT-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
CASINOS-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_FUERTE,3,1,2,33.33,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_FUERTE
MU-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,3,0,3,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
MU-OTC|PUT|REVERSIÓN_ESTRUCTURAL|TENDENCIA_BAJISTA|BAJISTA_FUERTE,3,0,3,0.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA_BAJISTA,BAJISTA_FUERTE
CARDANO-OTC|CALL|REACCIÓN_ZONA|RANGO|ALCISTA_DEBIL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,call,REACCIÓN_ZONA,RANGO,ALCISTA_DEBIL
USDPHP-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,USDPHP-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
SPACEX-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
MU-OTC|PUT|REVERSIÓN|RANGO|BAJISTA_DEBIL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,put,REVERSIÓN,RANGO,BAJISTA_DEBIL
SUGAR-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
SPACEX-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,put,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
SUGAR-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SUGAR-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
JUPUSD-OTC|CALL|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,JUPUSD-OTC,call,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
EURGBP-OTC|CALL|CONTINUACIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,EURGBP-OTC,call,CONTINUACIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
CASINOS-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CASINOS-OTC,put,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
CARDANO-OTC|CALL|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,call,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_NORMAL
MU-OTC|PUT|REVERSIÓN|TENDENCIA_BAJISTA|BAJISTA_NORMAL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,put,REVERSIÓN,TENDENCIA_BAJISTA,BAJISTA_NORMAL
CARDANO-OTC|PUT|CONTINUACIÓN|TENDENCIA_BAJISTA|BAJISTA_FUERTE,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,CARDANO-OTC,put,CONTINUACIÓN,TENDENCIA_BAJISTA,BAJISTA_FUERTE
SPACEX-OTC|PUT|REACCIÓN_ZONA|TENDENCIA_ALCISTA|ALCISTA_FUERTE,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,SpaceX-OTC,put,REACCIÓN_ZONA,TENDENCIA_ALCISTA,ALCISTA_FUERTE
MU-OTC|CALL|REVERSIÓN|TENDENCIA_ALCISTA|ALCISTA_NORMAL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,call,REVERSIÓN,TENDENCIA_ALCISTA,ALCISTA_NORMAL
MU-OTC|PUT|REVERSIÓN|RANGO|ALCISTA_DEBIL,2,2,0,100.0,0.0,MUESTRA_INSUFICIENTE,INSUFICIENTE,MU-OTC,put,REVERSIÓN,RANGO,ALCISTA_DEBIL
